Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.01,8.83,669.7931,19.87 - 20.10,2,144.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,669.7927,19.97,1.1E3,669.7935,19.96,1.98E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.18:0:0,0,3.25E2,0:1.00,19.97,,
,0.01,4.62,260.8639,13.36 - 13.59,1,32.3,-,-,0,260.8637,13.53,9.25E1,-,-,0,-,-,0,-,-,0,-,-,0,260.8641,13.41,1.98E2,-,-,0,-,-,0,0:1.00:0:0:0:0:2.14:0:0,1.85E1,4.96E1,1.00:2.68,13.47,,
,0.01,3.72,532.8142,14.18 - 15.19,1,149.8,-,-,0,532.8138,14.23,5.91E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,532.8145,14.82,7.57E2,-,-,0,0:1.00:0:0:0:0:0:1.28:0,1.18E2,1.89E2,1.00:1.60,14.53,,
,0.01,8.79,360.9704,0.23 - 0.31,1,238.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,360.9704,0.23,2.14E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.36E2,0:1.00,0.23,,
,0.01,8.79,724.7311,0.05 - 0.13,1,28,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,724.7311,0.09,2.52E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,6.29E1,0:1.00,0.09,,
,0.01,3.89,1315.7242,20.12 - 20.22,1,574.9,-,-,0,-,-,0,1315.7183,20.18,2.14E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1315.7302,20.19,3.04E3,0:0:1.00:0:0:0:0:0:1.42,4.27E2,7.6E2,1.00:1.78,20.18,,
,0.01,3.77,622.7815,11.00 - 11.15,1,72.9,-,-,0,622.7825,11.12,2.82E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,622.7806,11.03,3.74E2,-,-,0,0:1.00:0:0:0:0:0:1.33:0,5.63E1,9.36E1,1.00:1.66,11.08,,
,0.01,3.75,1199.2516,20.09 - 20.22,2,433.9,-,-,0,-,-,0,1199.2526,20.16,1.69E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1199.2507,20.17,2.22E3,0:0:1.00:0:0:0:0:0:1.31,3.38E2,5.54E2,1.00:1.64,20.16,,
,0.01,3.91,640.8001,18.97 - 19.56,2,66.7,-,-,0,640.8009,18.99,2.46E2,-,-,0,-,-,0,-,-,0,640.7993,19.48,3.54E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.44:0:0:0,4.92E1,8.86E1,1.00:1.80,19.23,,
,0.01,8.79,1182.4407,20.15 - 20.21,3,78.9,-,-,0,1182.4407,20.18,7.1E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.42E2,0,1.00:0,20.18,,
,0.01,4.59,497.3349,18.84 - 19.74,2,112.6,-,-,0,497.3348,18.87,3.24E2,-,-,0,-,-,0,-,-,0,497.3350,19.63,6.89E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:2.13:0:0:0,6.48E1,1.72E2,1.00:2.66,19.25,,
,0.01,8.79,602.7997,6.96 - 7.38,1,47.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,602.7983,7.00,2.33E2,602.8011,7.34,1.96E2,-,-,0,0:0:0:0:0:0:1.00:0.84:0,0,1.07E2,0:1.00,7.17,,
,0.01,3.08,1167.7372,20.15 - 20.22,1,215,-,-,0,-,-,0,1167.7328,20.18,1.1E3,-,-,0,-,-,0,-,-,0,1167.7416,20.21,8.35E2,-,-,0,-,-,0,0:0:1.00:0:0:0:0.76:0:0,2.2E2,2.09E2,1.00:0.95,20.20,,
,0.01,8.79,664.8301,14.78 - 16.12,1,836.5,-,-,0,-,-,0,664.8297,15.08,2.55E3,664.8306,15.79,4.98E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.95:0:0:0:0:0,1.51E3,0,1.00:0,15.43,,
,0.01,4.04,792.7948,8.16 - 8.37,1,48.7,-,-,0,792.7958,8.18,1.71E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,792.7938,8.34,2.67E2,-,-,0,0:1.00:0:0:0:0:0:1.56:0,3.42E1,6.69E1,1.00:1.95,8.26,,
,0.01,4.84,533.8302,9.69 - 10.41,1,68.2,-,-,0,533.8295,9.73,1.79E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,533.8309,10.20,4.35E2,-,-,0,0:1.00:0:0:0:0:0:2.43:0,3.59E1,1.09E2,1.00:3.03,9.96,,
,0.01,5.07,688.8437,12.13 - 13.47,1,381.4,-,-,0,688.8446,13.29,9.22E2,-,-,0,-,-,0,-,-,0,-,-,0,688.8428,12.35,2.51E3,-,-,0,-,-,0,0:1.00:0:0:0:0:2.72:0:0,1.84E2,6.28E2,1.00:3.40,12.82,,
,0.01,8.79,532.8125,6.63 - 7.73,1,254.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,532.8118,6.71,1.99E3,-,-,0,532.8133,7.45,3.04E2,-,-,0,0:0:0:0:0:1.00:0:0.15:0,0,5.73E2,0:1.00,7.08,,
,0.01,3.44,1458.6894,20.12 - 20.21,1,507.1,1458.6909,20.18,2.2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1458.6879,20.20,2.37E3,-,-,0,1.00:0:0:0:0:0:0:1.08:0,4.39E2,5.92E2,1.00:1.35,20.19,,
,0.01,8.79,622.7831,6.54 - 6.80,1,109.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,622.7836,6.79,4.26E2,622.7827,6.66,5.58E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.31:0:0,0,2.46E2,0:1.00,6.72,,
,0.01,3.52,454.7982,18.62 - 18.78,1,55.5,-,-,0,454.7975,18.67,2.34E2,-,-,0,-,-,0,-,-,0,454.7989,18.66,2.66E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.14:0:0:0,4.67E1,6.64E1,1.00:1.42,18.67,,
,0.01,4.37,726.7999,10.32 - 10.77,1,98.9,-,-,0,726.8000,10.36,3.08E2,-,-,0,-,-,0,-,-,0,726.7997,10.73,5.82E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.89:0:0:0,6.15E1,1.46E2,1.00:2.37,10.55,,
,0.01,3.99,739.2775,19.77 - 20.07,2,98.1,-,-,0,739.2770,19.98,3.52E2,-,-,0,-,-,0,-,-,0,-,-,0,739.2781,19.78,5.31E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.51:0:0,7.03E1,1.33E2,1.00:1.89,19.88,,
,0.01,8.79,752.3208,19.55 - 20.23,2,531.4,752.3193,20.11,3.28E3,-,-,0,-,-,0,-,-,0,752.3223,19.62,1.5E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.46:0:0:0:0,9.57E2,0,1.00:0,19.86,,
,0.01,4.37,354.9257,16.29 - 16.70,3,37.1,-,-,0,354.9252,16.65,1.16E2,-,-,0,-,-,0,-,-,0,354.9261,16.32,2.18E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.88:0:0:0,2.32E1,5.45E1,1.00:2.35,16.49,,
,0.01,8.79,602.7943,19.87 - 20.07,1,141.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,602.7926,20.03,7.75E2,602.7959,19.94,4.96E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.64:0:0,0,3.18E2,0:1.00,19.98,,
,0.01,8.79,536.9047,17.57 - 17.73,2,21.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,536.9047,17.59,1.95E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.88E1,0:1.00,17.59,,
,0.01,3.90,361.8741,9.72 - 10.55,1,136.9,-,-,0,361.8745,10.28,8.52E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,361.8737,9.87,3.8E2,-,-,0,0:1.00:0:0:0:0:0:0.45:0,1.7E2,9.5E1,1.00:0.56,10.07,,
,0.01,8.79,770.7197,16.37 - 16.91,1,349.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,770.7222,16.78,1.24E3,-,-,0,770.7172,16.49,1.91E3,-,-,0,0:0:0:0:0:1.00:0:1.54:0,0,7.86E2,0:1.00,16.64,,
,0.01,3.01,700.8032,14.19 - 14.44,1,192.4,-,-,0,700.8047,14.26,9.65E2,-,-,0,-,-,0,-,-,0,-,-,0,700.8018,14.30,7.67E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.80:0:0,1.93E2,1.92E2,1.00:0.99,14.28,,
,0.01,8.79,652.8846,19.47 - 19.85,1,61.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,652.8826,19.57,3.53E2,652.8867,19.85,2.03E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.57:0:0,0,1.39E2,0:1.00,19.71,,
,0.01,3.41,770.7284,8.25 - 8.70,1,39.4,-,-,0,770.7272,8.28,1.73E2,-,-,0,-,-,0,-,-,0,-,-,0,770.7295,8.68,1.82E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.06:0:0,3.45E1,4.56E1,1.00:1.32,8.48,,
,0.01,5.32,268.8018,16.00 - 16.58,3,54.1,-,-,0,268.8021,16.24,4.03E2,-,-,0,-,-,0,-,-,0,-,-,0,268.8015,16.57,8.36E1,-,-,0,-,-,0,0:1.00:0:0:0:0:0.21:0:0,8.06E1,2.09E1,1.00:0.26,16.40,,
,0.01,6.18,484.8838,9.51 - 10.98,1,157.8,-,-,0,-,-,0,484.8849,10.81,2.54E2,-,-,0,-,-,0,484.8826,9.67,1.17E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:4.60:0:0:0,5.07E1,2.92E2,1.00:5.75,10.24,,
,0.01,3.09,506.1249,2.89 - 3.45,1,183.5,-,-,0,506.1245,2.99,8.94E2,-,-,0,-,-,0,-,-,0,-,-,0,506.1253,3.07,7.57E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.85:0:0,1.79E2,1.89E2,1.00:1.06,3.03,,
,0.01,5.80,583.8873,9.38 - 11.60,1,140.6,-,-,0,583.8868,9.43,2.6E2,-,-,0,-,-,0,-,-,0,583.8878,11.45,1.01E3,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:3.87:0:0:0,5.2E1,2.51E2,1.00:4.84,10.44,,
,0.01,8.79,478.8521,1.03 - 1.56,1,66.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,478.8518,1.46,4.24E2,-,-,0,478.8524,1.06,1.75E2,-,-,0,0:0:0:0:0:1.00:0:0.41:0,0,1.5E2,0:1.00,1.26,,
,0.01,8.79,675.3028,19.02 - 19.17,2,64.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,675.3044,19.05,4.24E2,675.3012,19.05,1.59E2,-,-,0,0:0:0:0:0:0:1.00:0.37:0,0,1.46E2,0:1.00,19.05,,
,0.01,3.07,634.7542,7.75 - 8.47,1,36,-,-,0,634.7547,7.80,1.77E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,634.7538,8.41,1.48E2,-,-,0,0:1.00:0:0:0:0:0:0.83:0,3.53E1,3.69E1,1.00:1.04,8.11,,
,0.01,8.74,703.8481,20.11 - 20.23,1,146,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,703.8478,20.18,6.16E2,703.8483,20.16,6.98E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.13:0:0,0,3.29E2,0:1.00,20.17,,
,0.01,8.74,679.3181,17.76 - 17.84,1,26.1,-,-,0,679.3181,17.77,2.35E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.71E1,0,1.00:0,17.77,,
,0.01,3.20,602.7953,17.86 - 18.19,1,79.2,-,-,0,602.7972,17.92,3.71E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,602.7935,18.14,3.42E2,-,-,0,0:1.00:0:0:0:0:0:0.92:0,7.43E1,8.54E1,1.00:1.15,18.03,,
,0.01,8.70,1428.3717,20.13 - 20.21,3,90.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1428.3717,20.20,8.18E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,2.05E2,0:1.00,20.20,,
,0.01,4.86,382.7237,1.47 - 1.82,2,102.3,-,-,0,382.7238,1.57,7.33E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,382.7237,1.58,1.88E2,-,-,0,0:1.00:0:0:0:0:0:0.26:0,1.47E2,4.69E1,1.00:0.32,1.57,,
,0.01,3.64,777.8176,19.24 - 19.50,1,289.4,-,-,0,-,-,0,777.8163,19.35,1.72E3,-,-,0,-,-,0,-,-,0,777.8188,19.38,8.87E2,-,-,0,-,-,0,0:0:1.00:0:0:0:0.52:0:0,3.44E2,2.22E2,1.00:0.65,19.37,,
,0.01,5.43,1159.7355,20.13 - 20.24,1,391.5,-,-,0,1159.7401,20.19,8.1E2,-,-,0,-,-,0,-,-,0,1159.7310,20.17,2.71E3,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:3.35:0:0:0,1.62E2,6.79E2,1.00:4.19,20.18,,
,0.01,8.61,728.7446,10.79 - 11.91,1,80.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,728.7430,11.80,4.79E2,-,-,0,728.7461,10.85,2.48E2,-,-,0,0:0:0:0:0:1.00:0:0.52:0,0,1.82E2,0:1.00,11.33,,
,0.01,4.38,564.8245,15.94 - 16.38,1,186.2,-,-,0,564.8241,16.01,1.26E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,564.8250,16.31,4.18E2,-,-,0,0:1.00:0:0:0:0:0:0.33:0,2.52E2,1.05E2,1.00:0.42,16.16,,
,0.01,8.65,373.0463,1.70 - 1.85,1,184.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,373.0463,1.76,1.66E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,4.15E2,0:1.00,1.76,,
,0.01,8.65,383.3548,6.92 - 7.95,2,162.4,-,-,0,-,-,0,383.3548,7.77,-,383.3548,7.08,9.53E2,383.3547,7.84,3.46E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:-:1.00:0.36:0:0:0:0,3.25E2,0,1.00:0,7.56,,
,0.01,8.65,665.8466,15.81 - 19.77,1,1.8E3,-,-,0,665.8474,16.77,1.32E4,665.8457,16.05,2.75E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.21:0:0:0:0:0:0,3.19E3,0,1.00:0,16.41,,
,0.01,8.61,645.1309,3.46 - 4.26,1,325.1,645.1307,3.66,2.28E3,-,-,0,-,-,0,-,-,0,645.1311,4.20,6.41E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.28:0:0:0:0,5.85E2,0,1.00:0,3.93,,
,0.01,3.13,824.8198,11.73 - 12.02,1,67.3,-,-,0,824.8169,11.78,3.23E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,824.8226,11.99,2.83E2,-,-,0,0:1.00:0:0:0:0:0:0.88:0,6.46E1,7.06E1,1.00:1.09,11.88,,
,0.01,8.61,678.8178,7.51 - 8.54,1,345.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,678.8183,7.65,1.98E3,-,-,0,678.8173,7.65,1.13E3,-,-,0,0:0:0:0:0:1.00:0:0.57:0,0,7.77E2,0:1.00,7.65,,
,0.01,3.28,542.8436,16.60 - 17.47,1,471.9,-,-,0,-,-,0,-,-,0,542.8439,17.15,2.15E3,-,-,0,-,-,0,-,-,0,-,-,0,542.8434,16.77,2.1E3,0:0:0:1.00:0:0:0:0:0.98,4.3E2,5.24E2,1.00:1.22,16.96,,
,0.01,8.61,857.8419,20.13 - 20.24,1,192.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,857.8419,20.17,1.73E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.33E2,0:1.00,20.17,,
,0.01,8.61,799.7589,20.25 - 20.31,1,26.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,799.7589,20.28,2.39E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.98E1,0:1.00,20.28,,
,0.01,3.12,689.8494,19.11 - 19.44,1,203.8,-,-,0,-,-,0,689.8489,19.34,9.8E2,-,-,0,-,-,0,-,-,0,689.8499,19.13,8.54E2,-,-,0,-,-,0,0:0:1.00:0:0:0:0.87:0:0,1.96E2,2.14E2,1.00:1.09,19.24,,
,0.01,8.61,384.8625,18.60 - 18.82,1,20.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,384.8629,18.77,1.31E2,384.8620,18.60,5.49E1,-,-,0,0:0:0:0:0:0:1.00:0.42:0,0,4.64E1,0:1.00,18.68,,
,0.01,4.57,798.8116,5.08 - 7.00,1,233.1,-,-,0,798.8096,5.47,1.62E3,-,-,0,-,-,0,-,-,0,-,-,0,798.8136,5.14,4.82E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.30:0:0,3.23E2,1.2E2,1.00:0.37,5.30,,
,0.01,8.60,729.7497,18.44 - 18.66,1,105,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,729.7497,18.49,2.66E2,729.7497,18.48,6.79E2,-,-,0,0:0:0:0:0:0:1.00:2.56:0,0,2.36E2,0:1.00,18.49,,
,0.01,3.45,776.8033,19.44 - 20.13,1,459.8,-,-,0,-,-,0,776.8052,19.54,2.61E3,-,-,0,-,-,0,-,-,0,776.8015,19.58,1.53E3,-,-,0,-,-,0,0:0:1.00:0:0:0:0.59:0:0,5.22E2,3.82E2,1.00:0.73,19.56,,
,0.01,5.65,558.8133,21.20 - 21.80,1,64.2,-,-,0,558.8125,21.24,1.22E2,-,-,0,-,-,0,-,-,0,-,-,0,558.8141,21.64,4.56E2,-,-,0,-,-,0,0:1.00:0:0:0:0:3.75:0:0,2.43E1,1.14E2,1.00:4.69,21.44,,
,0.01,8.60,749.8072,17.27 - 17.58,1,124.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,749.8080,17.34,3.79E2,749.8063,17.50,7.43E2,-,-,0,0:0:0:0:0:0:1.00:1.96:0,0,2.81E2,0:1.00,17.42,,
,0.01,8.64,260.8636,21.11 - 21.23,1,19.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,260.8633,21.22,8.65E1,-,-,0,260.8639,21.17,9.27E1,-,-,0,0:0:0:0:0:1.00:0:1.07:0,0,4.48E1,0:1.00,21.20,,
,0.01,3.38,732.8204,13.68 - 14.02,1,289.7,-,-,0,732.8219,13.78,1.28E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,732.8188,13.81,1.33E3,-,-,0,0:1.00:0:0:0:0:0:1.04:0,2.56E2,3.32E2,1.00:1.30,13.79,,
,0.01,8.60,328.8620,7.49 - 8.41,1,168,328.8616,8.03,1.08E3,-,-,0,-,-,0,-,-,0,328.8624,7.58,4.31E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.40:0:0:0:0,3.02E2,0,1.00:0,7.80,,
,0.01,8.60,507.8778,17.80 - 18.10,1,86.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,507.8778,17.84,3.33E2,507.8777,18.04,4.45E2,-,-,0,0:0:0:0:0:0:1.00:1.33:0,0,1.95E2,0:1.00,17.94,,
,0.01,8.60,526.8694,3.61 - 8.67,2,1.2E4,-,-,0,526.8694,3.67,1.06E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.12E4,0,1.00:0,3.67,,
,0.01,8.60,780.7498,15.44 - 17.51,1,2.5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,780.7513,15.52,1.24E4,780.7482,16.47,1.02E4,-,-,0,-,-,0,0:0:0:0:0:1.00:0.82:0:0,0,5.65E3,0:1.00,16.00,,
,0.01,3.10,315.8773,2.14 - 7.97,1,2.2E4,315.8776,2.97,8.44E4,-,-,0,-,-,0,-,-,0,315.8771,3.89,-,-,-,0,315.8772,2.17,9.03E4,-,-,0,-,-,0,1.00:0:0:0:-:0:1.07:0:0,2.11E4,2.26E4,1.00:1.07,3.01,,
,0.01,8.60,620.8555,16.14 - 20.29,1,1.6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,620.8556,17.19,1.16E4,-,-,0,620.8554,16.34,3.14E3,-,-,0,0:0:0:0:0:1.00:0:0.27:0,0,3.7E3,0:1.00,16.76,,
,0.01,5.30,508.8082,13.44 - 14.59,1,55.8,-,-,0,508.8088,13.49,4.18E2,-,-,0,-,-,0,-,-,0,508.8076,14.03,8.47E1,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.20:0:0:0,8.36E1,2.12E1,1.00:0.25,13.76,,
,0.01,8.65,780.7545,13.66 - 14.39,1,288.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,780.7551,13.73,1.27E3,780.7538,14.27,1.33E3,-,-,0,-,-,0,0:0:0:0:0:1.00:1.05:0:0,0,6.5E2,0:1.00,14.00,,
,0.01,3.44,312.8658,8.12 - 8.58,3,55.8,-,-,0,312.8658,8.17,2.41E2,-,-,0,-,-,0,-,-,0,-,-,0,312.8658,8.49,2.61E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.08:0:0,4.82E1,6.52E1,1.00:1.35,8.33,,
,0.01,8.69,300.8848,3.82 - 9.37,8,4.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,300.8845,4.33,1.86E4,-,-,0,300.8851,4.37,1.96E4,-,-,0,0:0:0:0:0:1.00:0:1.05:0,0,9.57E3,0:1.00,4.35,,
,0.01,8.74,851.7611,12.45 - 12.53,1,31.1,-,-,0,851.7611,12.53,2.8E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.59E1,0,1.00:0,12.53,,
,0.01,5.11,724.8063,10.34 - 11.24,1,158.2,-,-,0,724.8058,10.47,1.16E3,-,-,0,-,-,0,-,-,0,-,-,0,724.8068,11.18,2.65E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.23:0:0,2.32E2,6.62E1,1.00:0.29,10.82,,
,0.01,3.55,634.2450,10.56 - 10.84,2,70.3,-,-,0,634.2451,10.82,2.93E2,-,-,0,-,-,0,-,-,0,634.2449,10.60,3.4E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.16:0:0:0,5.86E1,8.49E1,1.00:1.45,10.71,,
,0.01,8.65,711.8385,11.21 - 11.52,1,182.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,711.8396,11.44,6.24E2,711.8374,11.24,1.02E3,-,-,0,-,-,0,0:0:0:0:0:1.00:1.63:0:0,0,4.11E2,0:1.00,11.34,,
,0.01,8.65,648.7870,14.15 - 14.99,1,88.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,648.7875,14.23,4.45E2,-,-,0,648.7864,14.93,3.55E2,-,-,0,0:0:0:0:0:1.00:0:0.80:0,0,2E2,0:1.00,14.58,,
,0.01,8.65,1444.6809,20.13 - 20.22,1,249.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1444.6809,20.19,2.25E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.62E2,0:1.00,20.19,,
,0.01,8.65,544.8387,19.47 - 19.90,1,73.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,544.8391,19.52,3.07E2,544.8384,19.84,3.51E2,-,-,0,0:0:0:0:0:0:1.00:1.14:0,0,1.64E2,0:1.00,19.68,,
,0.01,8.65,440.3083,3.62 - 3.92,2,134,440.3100,3.64,6.12E2,-,-,0,-,-,0,-,-,0,440.3066,3.86,5.94E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.97:0:0:0:0,2.41E2,0,1.00:0,3.75,,
,0.01,8.65,612.8687,19.08 - 20.21,1,572.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,612.8677,19.10,1.69E3,612.8698,19.73,3.46E3,-,-,0,0:0:0:0:0:0:1.00:2.05:0,0,1.29E3,0:1.00,19.41,,
,0.01,8.65,724.8040,7.33 - 7.77,1,196.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,724.8058,7.53,5.85E2,724.8022,7.53,1.18E3,-,-,0,0:0:0:0:0:0:1.00:2.02:0,0,4.42E2,0:1.00,7.53,,
,0.01,8.65,1171.7734,20.13 - 20.21,1,311.4,-,-,0,1171.7734,20.19,2.8E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.61E2,0,1.00:0,20.19,,
,0.01,5.44,732.7693,18.95 - 19.59,2,71.9,-,-,0,732.7712,19.56,1.48E2,-,-,0,-,-,0,-,-,0,732.7674,19.01,4.99E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:3.38:0:0:0,2.95E1,1.25E2,1.00:4.23,19.29,,
,0.01,4.70,737.7862,16.19 - 16.50,1,111.2,-,-,0,737.7861,16.24,3.02E2,-,-,0,-,-,0,-,-,0,737.7863,16.46,6.99E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:2.32:0:0:0,6.03E1,1.75E2,1.00:2.90,16.35,,
,0.01,8.56,584.8264,3.82 - 9.58,1,5.8E4,-,-,0,584.8267,4.21,2.25E5,584.8273,4.58,2.38E5,-,-,0,-,-,0,-,-,0,584.8253,4.27,-,-,-,0,-,-,0,0:1.00:1.06:0:0:0:-:0:0,9.26E4,0,1.00:0,4.35,,
,0.01,8.56,261.8472,20.52 - 20.70,1,19.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,261.8467,20.66,8.12E1,261.8477,20.55,9.58E1,-,-,0,0:0:0:0:0:0:1.00:1.18:0,0,4.43E1,0:1.00,20.60,,
,0.01,8.56,711.3337,19.71 - 20.22,2,133.8,-,-,0,711.3351,19.78,2.04E2,-,-,0,-,-,0,711.3323,20.11,9.99E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:4.89:0:0:0:0,2.41E2,0,1.00:0,19.95,,
