Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD1_E00_neg m/z,STARD1_E00_neg RT mean,STARD1_E00_neg Normalized Area,STARD1_E04_neg m/z,STARD1_E04_neg RT mean,STARD1_E04_neg Normalized Area,STARD1_E05_neg m/z,STARD1_E05_neg RT mean,STARD1_E05_neg Normalized Area,STARD1_E08_neg m/z,STARD1_E08_neg RT mean,STARD1_E08_neg Normalized Area,STARD1_E09_neg m/z,STARD1_E09_neg RT mean,STARD1_E09_neg Normalized Area,STARD1_E10_neg m/z,STARD1_E10_neg RT mean,STARD1_E10_neg Normalized Area,STARD1_E11_neg m/z,STARD1_E11_neg RT mean,STARD1_E11_neg Normalized Area,STARD1_E12_neg m/z,STARD1_E12_neg RT mean,STARD1_E12_neg Normalized Area,STARD1_E06_neg m/z,STARD1_E06_neg RT mean,STARD1_E06_neg Normalized Area,STARD1_E07_neg m/z,STARD1_E07_neg RT mean,STARD1_E07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.01,8.21,410.8658,0.06 - 0.27,1,215.4,-,-,0,410.8658,0.08,2.15E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.69E2,0,1.00:0,0.08,,
,0.01,8.21,614.8267,3.10 - 3.33,1,96.8,-,-,0,614.8267,3.22,9.68E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.21E2,0,1.00:0,3.22,,
,0.01,5.25,1258.7448,20.11 - 20.22,2,1.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1258.7450,20.15,6.37E3,-,-,0,1258.7446,20.18,6.59E3,0:0:0:0:0:0:0:1.00:0:1.04,7.96E2,3.3E3,1.00:4.14,20.16,,
,0.01,8.17,460.8669,17.19 - 20.04,1,2.4E3,460.8668,18.11,1.32E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,460.8670,18.04,1.05E4,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0.80:0:0:0,2.96E3,0,1.00:0,18.08,,
,0.01,8.17,731.5118,4.33 - 11.19,3,2.1E4,-,-,0,-,-,0,731.5118,6.19,2.1E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,2.63E4,0,1.00:0,6.19,,
,0.01,8.17,655.1588,4.40 - 4.66,1,133.6,-,-,0,-,-,0,-,-,0,-,-,0,655.1588,4.53,1.34E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0:0,1.67E2,0,1.00:0,4.53,,
,0.01,8.17,349.9462,5.28 - 5.38,1,28.8,-,-,0,349.9462,5.36,2.88E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.6E1,0,1.00:0,5.36,,
,0.01,8.17,419.0512,1.53 - 1.73,1,69.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,419.0512,1.59,6.92E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0:0,8.65E1,0,1.00:0,1.59,,
,0.01,8.17,1426.6748,20.16 - 20.23,2,124,-,-,0,-,-,0,-,-,0,1426.6748,20.21,1.24E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,1.55E2,0,1.00:0,20.21,,
,0.01,8.17,531.2964,3.31 - 3.43,1,92.9,-,-,0,-,-,0,531.2964,3.39,9.29E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,1.16E2,0,1.00:0,3.39,,
,0.01,8.17,1057.8019,20.10 - 20.22,1,122.6,-,-,0,-,-,0,1057.8019,20.18,1.23E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,1.53E2,0,1.00:0,20.18,,
,0.01,8.17,1290.0562,20.16 - 20.22,3,50.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1290.0562,20.21,5.01E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,6.27E1,0,1.00:0,20.21,,
,0.01,4.33,528.8534,7.22 - 12.92,1,1.8E4,-,-,0,-,-,0,-,-,0,528.8534,8.05,2.62E3,-,-,0,-,-,0,528.8541,7.73,1.64E5,-,-,0,-,-,0,528.8528,7.92,1.68E4,0:0:0:1.00:0:0:62.66:0:0:6.42,2.08E4,8.4E3,1.00:0.40,7.90,,
,0.01,8.17,452.8504,12.47 - 12.73,1,75.7,-,-,0,-,-,0,-,-,0,-,-,0,452.8504,12.67,7.57E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0:0,9.47E1,0,1.00:0,12.67,,
,0.01,8.17,672.8209,19.89 - 20.13,1,238.7,-,-,0,672.8209,20.01,2.39E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.98E2,0,1.00:0,20.01,,
,0.01,8.17,879.8048,19.32 - 19.40,1,73.6,-,-,0,879.8048,19.40,7.36E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.21E1,0,1.00:0,19.40,,
,0.01,8.17,606.8954,16.70 - 16.76,1,24.2,-,-,0,606.8954,16.71,2.42E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.02E1,0,1.00:0,16.71,,
,0.01,5.21,754.8521,20.10 - 20.23,1,727.6,-,-,0,-,-,0,754.8522,20.16,3.6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,754.8521,20.15,3.68E3,0:0:1.00:0:0:0:0:0:0:1.02,4.5E2,1.84E3,1.00:4.08,20.16,,
,0.01,3.52,722.7912,9.49 - 11.03,1,723.3,-,-,0,-,-,0,-,-,0,-,-,0,722.7917,9.65,5.3E3,-,-,0,-,-,0,-,-,0,722.7907,10.94,1.93E3,-,-,0,0:0:0:0:1.00:0:0:0:0.36:0,6.62E2,9.67E2,1.00:1.46,10.30,,
,0.01,3.66,674.4788,6.85 - 7.21,3,449.9,-,-,0,-,-,0,-,-,0,674.4787,7.12,3.21E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,674.4788,7.10,1.29E3,0:0:0:1.00:0:0:0:0:0:0.40,4.01E2,6.47E2,1.00:1.61,7.11,,
,0.01,8.17,867.8124,11.34 - 12.72,1,555.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,867.8124,11.61,5.55E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0:0,6.94E2,0,1.00:0,11.61,,
,0.01,8.17,549.8612,10.79 - 10.86,1,16.5,-,-,0,549.8612,10.81,1.65E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.07E1,0,1.00:0,10.81,,
,0.01,8.17,719.8655,12.17 - 12.30,1,56.7,-,-,0,719.8655,12.22,5.67E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.08E1,0,1.00:0,12.22,,
,0.01,8.17,580.7980,8.29 - 8.51,1,71.9,-,-,0,580.7980,8.40,7.19E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.99E1,0,1.00:0,8.40,,
,0.01,8.17,646.7824,0.70 - 0.90,1,79.4,-,-,0,646.7824,0.84,7.94E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.93E1,0,1.00:0,0.84,,
,0.01,4.23,746.8035,4.63 - 12.41,1,3E4,746.8055,5.51,4.78E3,-,-,0,-,-,0,746.8022,5.66,1.27E4,-,-,0,-,-,0,-,-,0,746.8025,7.41,1.75E5,-,-,0,746.8038,7.39,1.12E5,1.00:0:0:2.66:0:0:0:36.61:0:23.38,2.41E4,5.59E4,1.00:2.32,6.49,,
,0.01,8.17,300.2050,2.10 - 2.19,1,87.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,300.2050,2.14,8.73E2,-,-,0,0:0:0:0:0:0:0:0:1.00:0,0,4.36E2,0:1.00,2.14,,
,0.01,8.17,730.8246,2.92 - 4.02,1,982.8,-,-,0,730.8206,3.13,2.02E3,730.8287,3.95,7.81E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:3.86:0:0:0:0:0:0:0,1.23E3,0,1.00:0,3.54,,
,0.01,8.17,636.7584,0.91 - 1.27,1,120.1,-,-,0,636.7584,1.21,1.2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.5E2,0,1.00:0,1.21,,
,0.01,8.17,484.8080,2.88 - 3.28,1,110,-,-,0,484.8080,3.10,1.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.37E2,0,1.00:0,3.10,,
,0.01,8.17,726.7524,6.62 - 6.73,1,77.5,-,-,0,726.7524,6.65,7.75E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.69E1,0,1.00:0,6.65,,
,0.01,8.17,1331.3889,20.14 - 20.20,3,218.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1331.3889,20.17,2.19E3,-,-,0,-,-,0,0:0:0:0:0:0:0:1.00:0:0,2.73E2,0,1.00:0,20.17,,
,0.01,8.17,708.8141,18.08 - 20.15,1,2.8E3,-,-,0,-,-,0,708.8122,19.34,6.61E3,-,-,0,708.8149,18.19,2.25E3,708.8152,18.87,1.96E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.34:2.97:0:0:0:0,3.56E3,0,1.00:0,18.80,,
,0.01,8.17,773.4599,3.88 - 4.10,1,172,-,-,0,-,-,0,773.4599,4.02,1.72E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,2.15E2,0,1.00:0,4.02,,
,0.01,7.97,712.7669,10.43 - 15.77,1,4.1E3,-,-,0,-,-,0,712.7667,10.95,8.84E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,712.7671,11.13,3.25E4,-,-,0,0:0:1.00:0:0:0:0:0:3.68:0,1.11E3,1.63E4,1.00:14.70,11.04,,
,0.01,8.17,316.1522,0.27 - 0.34,1,140.9,-,-,0,316.1522,0.29,1.41E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.76E2,0,1.00:0,0.29,,
,0.01,8.17,878.7646,19.64 - 20.13,2,640,-,-,0,878.7633,19.89,5.18E3,-,-,0,-,-,0,-,-,0,-,-,0,878.7659,20.04,1.22E3,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0.23:0:0:0,8E2,0,1.00:0,19.97,,
,0.01,5.30,461.8823,5.19 - 13.92,1,2.6E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,461.8823,8.92,1.25E5,-,-,0,-,-,0,-,-,0,461.8823,8.87,1.34E5,0:0:0:0:0:1.00:0:0:0:1.07,1.56E4,6.69E4,1.00:4.29,8.89,,
,0.01,8.17,537.8254,1.82 - 2.07,1,70,-,-,0,537.8254,1.94,7E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.75E1,0,1.00:0,1.94,,
,0.01,4.00,440.8199,3.32 - 10.80,1,2.6E4,-,-,0,-,-,0,440.8195,5.80,8.58E4,-,-,0,-,-,0,-,-,0,440.8200,5.65,8.68E4,-,-,0,-,-,0,440.8201,5.63,8.69E4,0:0:1.00:0:0:0:1.01:0:0:1.01,2.16E4,4.34E4,1.00:2.01,5.69,,
,0.01,8.17,1444.3607,20.16 - 20.21,3,52.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1444.3607,20.19,5.29E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0:0,6.61E1,0,1.00:0,20.19,,
,0.01,8.17,1111.7766,20.12 - 20.19,1,99.3,-,-,0,-,-,0,1111.7766,20.18,9.93E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,1.24E2,0,1.00:0,20.18,,
,0.01,8.17,674.3038,19.97 - 20.07,1,61.3,-,-,0,674.3038,20.01,6.13E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.67E1,0,1.00:0,20.01,,
,0.01,8.17,1162.7579,20.11 - 20.19,1,189.9,-,-,0,-,-,0,-,-,0,-,-,0,1162.7579,20.17,1.9E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0:0,2.37E2,0,1.00:0,20.17,,
,0.01,8.17,796.7335,12.22 - 12.37,1,55.9,-,-,0,796.7335,12.25,5.59E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,6.99E1,0,1.00:0,12.25,,
,0.01,8.17,1473.0203,20.11 - 20.21,3,161.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1473.0203,20.19,1.62E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0:0,2.02E2,0,1.00:0,20.19,,
,0.01,8.17,807.7734,16.26 - 16.43,1,74.1,-,-,0,807.7734,16.41,7.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.27E1,0,1.00:0,16.41,,
,0.01,8.17,700.8066,2.58 - 2.73,1,50.5,-,-,0,700.8066,2.62,5.05E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,6.31E1,0,1.00:0,2.62,,
,0.01,8.17,426.3348,17.52 - 20.20,2,2.8E3,-,-,0,-,-,0,-,-,0,-,-,0,426.3350,19.91,1.35E4,-,-,0,-,-,0,426.3347,19.85,1.41E4,-,-,0,-,-,0,0:0:0:0:1.00:0:0:1.04:0:0,3.45E3,0,1.00:0,19.88,,
,0.01,3.72,655.8168,9.83 - 16.18,1,518.1,655.8157,9.85,1.54E2,655.8175,10.31,3.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,655.8165,11.18,-,655.8176,10.94,8.06E2,0.04:1.00:0:0:0:0:0:0:-:0.22,4.82E2,8.06E2,1.00:1.67,10.57,,
,0.01,8.17,808.7714,9.47 - 10.33,1,255.3,-,-,0,808.7697,9.73,2.05E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,808.7732,10.27,5E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0.24:0:0,3.19E2,0,1.00:0,10.00,,
,0.01,8.17,1518.6900,20.15 - 20.21,3,292,-,-,0,1518.6976,20.17,1.69E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1518.6824,20.17,1.23E3,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0.72:0:0,3.65E2,0,1.00:0,20.17,,
,0.01,8.17,473.8371,0.98 - 1.06,1,29.5,-,-,0,473.8371,0.99,2.95E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.69E1,0,1.00:0,0.99,,
,0.01,8.17,545.8451,16.61 - 16.68,1,23.3,-,-,0,545.8451,16.65,2.33E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.91E1,0,1.00:0,16.65,,
,0.01,8.17,826.7544,11.74 - 11.94,1,86.5,-,-,0,826.7544,11.80,8.65E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.08E2,0,1.00:0,11.80,,
,0.01,8.17,600.8151,19.55 - 20.36,1,1.2E3,-,-,0,600.8192,19.61,-,-,-,0,-,-,0,600.8131,20.24,4.44E3,-,-,0,-,-,0,600.8130,20.24,6.28E3,-,-,0,-,-,0,0:-:0:0:1.00:0:0:1.41:0:0,1.53E3,0,1.00:0,20.03,,
,0.01,8.17,1160.1039,20.16 - 20.22,6,63.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1160.1039,20.19,6.33E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,7.92E1,0,1.00:0,20.19,,
,0.01,8.17,651.8719,7.32 - 7.53,1,68.9,-,-,0,651.8719,7.43,6.89E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.61E1,0,1.00:0,7.43,,
,0.01,8.17,1443.3673,20.15 - 20.22,3,139.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1443.3673,20.19,1.39E3,-,-,0,0:0:0:0:0:0:0:0:1.00:0,0,6.96E2,0:1.00,20.19,,
,0.01,8.17,426.8491,0.41 - 8.39,1,3.1E4,-,-,0,426.8493,3.39,1.22E5,-,-,0,-,-,0,-,-,0,-,-,0,426.8482,1.94,7.74E4,426.8498,2.68,1.1E5,-,-,0,-,-,0,0:1.00:0:0:0:0:0.64:0.90:0:0,3.86E4,0,1.00:0,2.67,,
,0.01,8.17,874.7482,14.48 - 14.62,1,70.6,-,-,0,874.7482,14.56,7.06E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.83E1,0,1.00:0,14.56,,
,0.01,8.17,1468.7118,20.15 - 20.22,1,130.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1468.7118,20.18,1.31E3,0:0:0:0:0:0:0:0:0:1.00,0,6.54E2,0:1.00,20.18,,
,0.01,8.14,563.8374,9.15 - 9.48,3,102.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,563.8374,9.44,1.03E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,1.28E2,0,1.00:0,9.44,,
,0.01,8.14,770.8098,17.28 - 17.36,1,57.5,-,-,0,770.8098,17.31,5.75E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.18E1,0,1.00:0,17.31,,
,0.01,8.14,294.8152,0.16 - 9.21,6,7.1E4,-,-,0,294.8149,3.59,1.32E5,-,-,0,-,-,0,-,-,0,294.8155,4.21,2.65E5,-,-,0,294.8156,3.75,2.38E5,-,-,0,294.8149,4.58,-,0:1.00:0:0:0:2.00:0:1.80:0:-,7.95E4,0,1.00:0,4.03,,
,0.01,8.14,974.6849,18.55 - 18.63,1,78.8,-,-,0,974.6849,18.58,7.88E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.85E1,0,1.00:0,18.58,,
,0.01,8.14,1276.0659,20.14 - 20.19,3,99.2,-,-,0,-,-,0,1276.0659,20.19,9.92E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,1.24E2,0,1.00:0,20.19,,
,0.01,8.14,1305.7424,20.14 - 20.22,1,1E3,-,-,0,-,-,0,1305.7424,20.18,3.83E3,-,-,0,-,-,0,1305.7424,20.19,6.32E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:1.65:0:0:0:0,1.27E3,0,1.00:0,20.19,,
,0.01,8.14,1525.6824,20.15 - 20.22,1,246.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1525.6824,20.18,2.46E3,0:0:0:0:0:0:0:0:0:1.00,0,1.23E3,0:1.00,20.18,,
,0.01,8.14,476.3080,3.15 - 3.69,1,623.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,476.3080,3.39,6.24E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0:0,7.8E2,0,1.00:0,3.39,,
,0.01,8.14,802.8218,14.95 - 15.23,1,226.1,-,-,0,802.8218,15.15,2.26E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.83E2,0,1.00:0,15.15,,
,0.01,8.14,630.8128,1.37 - 1.56,1,60.2,-,-,0,630.8128,1.47,6.02E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.53E1,0,1.00:0,1.47,,
,0.01,8.14,943.7751,19.46 - 19.56,1,75.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,943.7751,19.47,7.58E2,0:0:0:0:0:0:0:0:0:1.00,0,3.79E2,0:1.00,19.47,,
,0.01,8.14,756.7596,10.07 - 10.16,1,46.1,-,-,0,756.7596,10.10,4.61E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.77E1,0,1.00:0,10.10,,
,0.01,4.95,460.8662,11.62 - 18.33,1,6.8E3,460.8664,13.33,4.78E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,460.8658,11.86,1.58E4,-,-,0,-,-,0,460.8664,12.58,4.46E3,1.00:0:0:0:0:0:0.33:0:0:0.09,7.95E3,2.23E3,1.00:0.28,12.59,,
,0.01,8.14,544.9504,3.25 - 3.78,3,300.4,-,-,0,-,-,0,-,-,0,544.9504,3.39,3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,3.75E2,0,1.00:0,3.39,,
,0.01,8.14,536.8250,0.98 - 1.20,1,67.4,-,-,0,536.8250,1.06,6.74E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.43E1,0,1.00:0,1.06,,
,0.01,8.14,398.8356,12.80 - 13.00,1,46.4,-,-,0,398.8356,12.85,4.64E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.8E1,0,1.00:0,12.85,,
,0.01,8.14,661.7938,17.92 - 18.02,1,47.5,-,-,0,661.7938,17.96,4.75E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.94E1,0,1.00:0,17.96,,
,0.01,8.14,596.8410,9.77 - 15.66,1,1.2E4,-,-,0,-,-,0,596.8403,10.86,6.33E3,-,-,0,596.8409,10.22,2.43E4,596.8419,10.66,9.28E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:3.84:14.65:0:0:0:0,1.54E4,0,1.00:0,10.58,,
,0.01,8.14,441.2867,3.06 - 3.13,2,56,-,-,0,-,-,0,-,-,0,441.2867,3.09,5.6E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,7E1,0,1.00:0,3.09,,
,0.01,8.14,442.1513,4.24 - 4.48,1,51.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,442.1513,4.32,5.16E2,0:0:0:0:0:0:0:0:0:1.00,0,2.58E2,0:1.00,4.32,,
,0.01,8.14,614.8708,14.82 - 14.89,1,30.8,-,-,0,614.8708,14.86,3.08E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.85E1,0,1.00:0,14.86,,
,0.01,8.14,375.9064,0.28 - 0.33,7,105.1,-,-,0,375.9064,0.29,1.05E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.31E2,0,1.00:0,0.29,,
,0.01,8.14,904.7684,15.27 - 15.33,1,50.4,-,-,0,904.7684,15.31,5.04E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,6.3E1,0,1.00:0,15.31,,
,0.01,8.14,416.8955,1.80 - 1.99,1,40.8,-,-,0,416.8955,1.97,4.08E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.1E1,0,1.00:0,1.97,,
,0.01,8.14,256.0982,0.11 - 0.23,1,210.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,256.0982,0.14,2.1E3,-,-,0,-,-,0,0:0:0:0:0:0:0:1.00:0:0,2.63E2,0,1.00:0,0.14,,
,0.01,8.14,735.8349,19.06 - 19.24,1,78.1,-,-,0,735.8349,19.17,7.81E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.77E1,0,1.00:0,19.17,,
,0.01,8.14,1538.6465,20.14 - 20.22,1,176,-,-,0,-,-,0,1538.6465,20.21,1.76E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,2.2E2,0,1.00:0,20.21,,
,0.01,8.14,862.7255,7.38 - 7.46,1,68.6,-,-,0,862.7255,7.43,6.86E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,8.58E1,0,1.00:0,7.43,,
,0.01,8.14,620.7873,9.55 - 9.71,1,56.2,-,-,0,620.7873,9.67,5.62E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.02E1,0,1.00:0,9.67,,
